0,92,67
1,90,65
2,88,65
3,87,66
4,87,64
5,86,65
6,85,67
7,85,65
8,85,67
9,86,67
10,85,68
11,84,67
12,84,69
13,84,68
14,85,67
15,87,66
16,86,65
17,89,64
18,88,65
19,88,66
20,89,66
21,87,66
22,89,66
23,90,67
24,89,67
25,92,68
26,91,65
27,93,65
28,95,61
29,96,59
30,95,60
31,95,60
32,96,61
33,95,60
34,94,59
35,95,58
36,95,61
37,97,62
38,97,61
39,95,61
40,94,60
41,92,62
42,91,66
43,90,63
44,89,66
45,84,66
46,81,65
47,80,68
48,76,66
49,72,69
50,71,68
51,70,69
52,68,69
53,66,70
54,61,72
55,62,73
56,61,72
57,59,74
58,61,74
59,58,76
60,61,76
61,61,76
62,63,75
63,63,75
64,63,77
65,64,76
66,65,74
67,66,75
68,66,75
69,68,73
70,66,73
71,65,74
72,64,74
73,67,73
74,66,70
75,68,68
76,67,66
77,70,63
78,69,64
79,70,61
80,71,59
81,75,59
82,74,58
83,77,58
84,83,61
85,86,61
86,89,61
87,91,59
88,96,60
89,99,61
90,103,61
91,107,62
92,108,61
93,112,60
94,111,59
95,112,59
96,111,60
97,111,60
98,110,60
99,109,62
100,108,62
101,105,63
102,104,62
103,99,65
104,98,64
105,94,64
106,91,64
107,88,64
108,87,64
109,83,61
110,82,60
111,81,60
112,78,59
113,78,58
114,78,58
115,77,57
116,77,58
117,77,59
118,76,58
119,76,58
120,76,58
121,75,58
122,77,59
123,77,60
124,76,60
125,76,58
126,76,59
127,76,58
128,76,57
129,76,58
130,76,56
131,75,55
132,75,56
133,73,58
134,73,57
135,73,55
136,74,57
137,74,57
138,75,58
139,77,60
140,78,58
141,77,57
142,80,56
143,80,55
144,80,56
145,81,56
146,81,56
147,81,57
148,82,55
149,83,54
150,83,54
151,81,54
152,81,52
153,83,52
154,83,52
155,81,55
156,81,56
157,82,56
158,82,57
159,82,58
160,82,57
161,82,59
162,81,59
163,82,59
164,81,60
165,84,58
166,85,60
167,82,58
168,83,60
169,84,60
170,85,60
171,83,63
172,84,65
173,85,64
174,87,66
175,87,66
176,86,65
177,85,64
178,86,67
179,87,68
180,86,67
181,87,65
182,88,65
183,89,68
184,89,68
185,91,69
186,92,69
187,92,72
188,94,71
189,93,72
190,96,72
191,98,76
192,101,76
193,102,76
194,102,79
195,104,81
196,104,80
197,109,84
198,111,85
199,110,84
200,111,86
201,112,87
202,116,89
203,117,86
204,117,89
205,119,86
206,120,87
207,121,83
208,121,80
209,122,78
210,117,78
211,114,72
212,109,68
213,103,68
214,99,65
215,93,64
216,89,63
217,82,59
218,77,60
219,75,57
220,71,59
221,67,60
222,65,61
223,62,59
224,62,62
225,62,61
226,61,61
227,59,60
228,61,59
229,61,63
230,62,61
231,65,64
232,68,65
233,71,66
234,73,66
235,76,68
236,78,69
237,81,70
238,85,70
239,87,70
240,88,72
241,90,74
242,90,75
243,90,74
244,91,74
245,92,75
246,93,75
247,92,74
248,92,73
249,90,71
250,90,71
251,88,70
252,88,70
253,88,70
254,86,70
255,85,70
256,83,68
